weekday_num,weekday,hour,base,base_name,trips
4,Friday,12,B02764,Danach-NY,1523
4,Friday,13,B02512,Unter,1662
4,Friday,13,B02598,Hinter,9302
4,Friday,13,B02617,Weiter,9773
4,Friday,13,B02682,Schmecken,7871
4,Friday,13,B02764,Danach-NY,1733
4,Friday,14,B02512,Unter,1842
4,Friday,14,B02598,Hinter,11297
4,Friday,14,B02617,Weiter,11431
4,Friday,14,B02682,Schmecken,9542
4,Friday,14,B02764,Danach-NY,2094
4,Friday,15,B02512,Unter,2152
4,Friday,15,B02598,Hinter,13698
4,Friday,15,B02617,Weiter,13762
4,Friday,15,B02682,Schmecken,11818
4,Friday,15,B02764,Danach-NY,2243
4,Friday,16,B02512,Unter,2252
4,Friday,16,B02598,Hinter,15113
4,Friday,16,B02617,Weiter,15304
4,Friday,16,B02682,Schmecken,12972
4,Friday,16,B02764,Danach-NY,2528
4,Friday,17,B02512,Unter,2317
4,Friday,17,B02598,Hinter,16306
4,Friday,17,B02617,Weiter,16433
4,Friday,17,B02682,Schmecken,14016
4,Friday,17,B02764,Danach-NY,2889
4,Friday,18,B02512,Unter,2442
4,Friday,18,B02598,Hinter,17376
4,Friday,18,B02617,Weiter,17030
4,Friday,18,B02682,Schmecken,14770
4,Friday,18,B02764,Danach-NY,3144
4,Friday,19,B02512,Unter,2196
4,Friday,19,B02598,Hinter,15439
4,Friday,19,B02617,Weiter,15455
4,Friday,19,B02682,Schmecken,13422
4,Friday,19,B02764,Danach-NY,3083
4,Friday,20,B02512,Unter,1900
4,Friday,20,B02598,Hinter,13611
4,Friday,20,B02617,Weiter,13774
4,Friday,20,B02682,Schmecken,11657
4,Friday,20,B02764,Danach-NY,2600
4,Friday,21,B02512,Unter,2025
4,Friday,21,B02598,Hinter,15420
4,Friday,21,B02617,Weiter,15184
4,Friday,21,B02682,Schmecken,12830
4,Friday,21,B02764,Danach-NY,2864
4,Friday,22,B02512,Unter,2019
4,Friday,22,B02598,Hinter,15820
4,Friday,22,B02617,Weiter,15580
4,Friday,22,B02682,Schmecken,13130
4,Friday,22,B02764,Danach-NY,2860
4,Friday,23,B02512,Unter,1565
4,Friday,23,B02598,Hinter,13019
4,Friday,23,B02617,Weiter,13430
4,Friday,23,B02682,Schmecken,10878
4,Friday,23,B02764,Danach-NY,2368
5,Saturday,0,B02512,Unter,928
5,Saturday,0,B02598,Hinter,8340
5,Saturday,0,B02617,Weiter,9277
5,Saturday,0,B02682,Schmecken,7261
5,Saturday,0,B02764,Danach-NY,1827
5,Saturday,1,B02512,Unter,601
5,Saturday,1,B02598,Hinter,5523
5,Saturday,1,B02617,Weiter,6687
5,Saturday,1,B02682,Schmecken,5032
5,Saturday,1,B02764,Danach-NY,1346
5,Saturday,2,B02512,Unter,371
5,Saturday,2,B02598,Hinter,3730
5,Saturday,2,B02617,Weiter,4431
5,Saturday,2,B02682,Schmecken,3289
5,Saturday,2,B02764,Danach-NY,889
5,Saturday,3,B02512,Unter,261
5,Saturday,3,B02598,Hinter,2915
5,Saturday,3,B02617,Weiter,3281
5,Saturday,3,B02682,Schmecken,2443
5,Saturday,3,B02764,Danach-NY,642
5,Saturday,4,B02512,Unter,183
5,Saturday,4,B02598,Hinter,2141
5,Saturday,4,B02617,Weiter,2217
5,Saturday,4,B02682,Schmecken,1848
5,Saturday,4,B02764,Danach-NY,457
5,Saturday,5,B02512,Unter,200
5,Saturday,5,B02598,Hinter,2187
5,Saturday,5,B02617,Weiter,2241
5,Saturday,5,B02682,Schmecken,2049
5,Saturday,5,B02764,Danach-NY,407
5,Saturday,6,B02512,Unter,300
5,Saturday,6,B02598,Hinter,2503
5,Saturday,6,B02617,Weiter,2737
5,Saturday,6,B02682,Schmecken,2470
5,Saturday,6,B02764,Danach-NY,569
5,Saturday,7,B02512,Unter,425
5,Saturday,7,B02598,Hinter,3225
5,Saturday,7,B02617,Weiter,3482
5,Saturday,7,B02682,Schmecken,3141
5,Saturday,7,B02764,Danach-NY,741
5,Saturday,8,B02512,Unter,580
5,Saturday,8,B02598,Hinter,4224
5,Saturday,8,B02617,Weiter,4502
5,Saturday,8,B02682,Schmecken,4098
