pickup_date,pickup_month,company,trips
2017-10-30,2017-10,Uber,92751
2017-10-31,2017-10,Uber,95689
2017-11-01,2017-11,Uber,98422
2017-11-02,2017-11,Uber,102675
2017-11-03,2017-11,Uber,116615
2017-11-04,2017-11,Uber,130355
2017-11-05,2017-11,Uber,107497
2017-11-06,2017-11,Uber,94026
2017-11-07,2017-11,Uber,115004
2017-11-08,2017-11,Uber,101831
2017-11-09,2017-11,Uber,106206
2017-11-10,2017-11,Uber,132880
2017-11-11,2017-11,Uber,137943
2017-11-12,2017-11,Uber,118611
2017-11-13,2017-11,Uber,100203
2017-11-14,2017-11,Uber,101648
2017-11-15,2017-11,Uber,106273
2017-11-16,2017-11,Uber,116053
2017-11-17,2017-11,Uber,126121
2017-11-18,2017-11,Uber,145660
2017-11-19,2017-11,Uber,122572
2017-11-20,2017-11,Uber,98903
2017-11-21,2017-11,Uber,99677
2017-11-22,2017-11,Uber,110406
2017-11-23,2017-11,Uber,96812
2017-11-24,2017-11,Uber,88146
2017-11-25,2017-11,Uber,100908
2017-11-26,2017-11,Uber,100293
2017-11-27,2017-11,Uber,90690
2017-11-28,2017-11,Uber,93208
2017-11-29,2017-11,Uber,97100
2017-11-30,2017-11,Uber,108531
2017-12-01,2017-12,Uber,121600
2017-12-02,2017-12,Uber,138523
2017-12-03,2017-12,Uber,119237
2017-12-04,2017-12,Uber,97960
2017-12-05,2017-12,Uber,114262
2017-12-06,2017-12,Uber,113030
2017-12-07,2017-12,Uber,121443
2017-12-08,2017-12,Uber,136775
2017-12-09,2017-12,Uber,168061
2017-12-10,2017-12,Uber,130584
2017-12-11,2017-12,Uber,110926
2017-12-12,2017-12,Uber,116503
2017-12-13,2017-12,Uber,134808
2017-12-14,2017-12,Uber,140380
2017-12-15,2017-12,Uber,159850
2017-12-16,2017-12,Uber,166020
2017-12-17,2017-12,Uber,140551
2017-12-18,2017-12,Uber,114368
2017-12-19,2017-12,Uber,118495
2017-12-20,2017-12,Uber,127317
2017-12-21,2017-12,Uber,131267
2017-12-22,2017-12,Uber,133770
2017-12-23,2017-12,Uber,130374
2017-12-24,2017-12,Uber,118341
2017-12-25,2017-12,Uber,96523
2017-12-26,2017-12,Uber,95599
2017-12-27,2017-12,Uber,110773
2017-12-28,2017-12,Uber,127377
2017-12-29,2017-12,Uber,140367
2017-12-30,2017-12,Uber,140070
2017-12-31,2017-12,Uber,166322
2018-01-01,2018-01,Uber,161851
2018-01-02,2018-01,Uber,114008
2018-01-03,2018-01,Uber,119314
2018-01-04,2018-01,Uber,83925
2018-01-05,2018-01,Uber,154244
2018-01-06,2018-01,Uber,177838
2018-01-07,2018-01,Uber,150542
2018-01-08,2018-01,Uber,126525
2018-01-09,2018-01,Uber,125057
2018-01-10,2018-01,Uber,126435
2018-01-11,2018-01,Uber,131520
2018-01-12,2018-01,Uber,158084
2018-01-13,2018-01,Uber,174739
2018-01-14,2018-01,Uber,167159
2018-01-15,2018-01,Uber,130852
2018-01-16,2018-01,Uber,131870
2018-01-17,2018-01,Uber,141552
2018-01-18,2018-01,Uber,147715
2018-01-19,2018-01,Uber,163190
2018-01-20,2018-01,Uber,174406
2018-01-21,2018-01,Uber,149338
2018-01-22,2018-01,Uber,123663
2018-01-23,2018-01,Uber,133029
2018-01-24,2018-01,Uber,140378
2018-01-25,2018-01,Uber,156976
2018-01-26,2018-01,Uber,175777
2018-01-27,2018-01,Uber,184607
2018-01-28,2018-01,Uber,159193
2018-01-29,2018-01,Uber,128879
2018-01-30,2018-01,Uber,140107
2018-01-31,2018-01,Uber,150226
2018-02-01,2018-02,Uber,104042
2018-02-02,2018-02,Uber,129041
2018-02-03,2018-02,Uber,139046
2018-02-04,2018-02,Uber,127776
2018-02-05,2018-02,Uber,100345
2018-02-06,2018-02,Uber,99189
2018-02-07,2018-02,Uber,119510
2018-02-08,2018-02,Uber,112929
2018-02-09,2018-02,Uber,123660
2018-02-10,2018-02,Uber,141212
2018-02-11,2018-02,Uber,119826
2018-02-12,2018-02,Uber,97230
