pickup_date,pickup_month,company,borough,trips
2015-03-21,2015-03,Uber,Staten Island,39
2015-03-21,2015-03,Uber,Unknown,60
2015-03-22,2015-03,Uber,Bronx,1157
2015-03-22,2015-03,Uber,Brooklyn,13994
2015-03-22,2015-03,Uber,Manhattan,44993
2015-03-22,2015-03,Uber,Queens,9115
2015-03-22,2015-03,Uber,Staten Island,35
2015-03-22,2015-03,Uber,Unknown,30
2015-03-23,2015-03,Uber,Bronx,942
2015-03-23,2015-03,Uber,Brooklyn,8963
2015-03-23,2015-03,Uber,EWR,1
2015-03-23,2015-03,Uber,Manhattan,42726
2015-03-23,2015-03,Uber,Queens,7791
2015-03-23,2015-03,Uber,Staten Island,35
2015-03-23,2015-03,Uber,Unknown,23
2015-03-24,2015-03,Uber,Bronx,916
2015-03-24,2015-03,Uber,Brooklyn,9330
2015-03-24,2015-03,Uber,Manhattan,47770
2015-03-24,2015-03,Uber,Queens,6319
2015-03-24,2015-03,Uber,Staten Island,32
2015-03-24,2015-03,Uber,Unknown,23
2015-03-25,2015-03,Uber,Bronx,1013
2015-03-25,2015-03,Uber,Brooklyn,10383
2015-03-25,2015-03,Uber,Manhattan,56138
2015-03-25,2015-03,Uber,Queens,6354
2015-03-25,2015-03,Uber,Staten Island,30
2015-03-25,2015-03,Uber,Unknown,28
2015-03-26,2015-03,Uber,Bronx,1013
2015-03-26,2015-03,Uber,Brooklyn,10759
2015-03-26,2015-03,Uber,EWR,2
2015-03-26,2015-03,Uber,Manhattan,60105
2015-03-26,2015-03,Uber,Queens,6608
2015-03-26,2015-03,Uber,Staten Island,31
2015-03-26,2015-03,Uber,Unknown,30
2015-03-27,2015-03,Uber,Bronx,1202
2015-03-27,2015-03,Uber,Brooklyn,12983
2015-03-27,2015-03,Uber,Manhattan,62197
2015-03-27,2015-03,Uber,Queens,8500
2015-03-27,2015-03,Uber,Staten Island,49
2015-03-27,2015-03,Uber,Unknown,40
2015-03-28,2015-03,Uber,Bronx,1562
2015-03-28,2015-03,Uber,Brooklyn,17631
2015-03-28,2015-03,Uber,Manhattan,65147
2015-03-28,2015-03,Uber,Queens,8094
2015-03-28,2015-03,Uber,Staten Island,53
2015-03-28,2015-03,Uber,Unknown,38
2015-03-29,2015-03,Uber,Bronx,1154
2015-03-29,2015-03,Uber,Brooklyn,14671
2015-03-29,2015-03,Uber,Manhattan,50464
2015-03-29,2015-03,Uber,Queens,9288
2015-03-29,2015-03,Uber,Staten Island,37
2015-03-29,2015-03,Uber,Unknown,28
2015-03-30,2015-03,Uber,Bronx,902
2015-03-30,2015-03,Uber,Brooklyn,9233
2015-03-30,2015-03,Uber,Manhattan,44983
2015-03-30,2015-03,Uber,Queens,7612
2015-03-30,2015-03,Uber,Staten Island,26
2015-03-30,2015-03,Uber,Unknown,20
2015-03-31,2015-03,Uber,Bronx,971
2015-03-31,2015-03,Uber,Brooklyn,10350
2015-03-31,2015-03,Uber,EWR,1
2015-03-31,2015-03,Uber,Manhattan,61206
2015-03-31,2015-03,Uber,Queens,6312
2015-03-31,2015-03,Uber,Staten Island,22
2015-03-31,2015-03,Uber,Unknown,25
2015-04-01,2015-04,Uber,Bronx,913
2015-04-01,2015-04,Uber,Brooklyn,10176
2015-04-01,2015-04,Uber,Manhattan,52069
2015-04-01,2015-04,Uber,Queens,6015
2015-04-01,2015-04,Uber,Staten Island,22
2015-04-01,2015-04,Uber,Unknown,21
2015-04-02,2015-04,Uber,Bronx,1018
2015-04-02,2015-04,Uber,Brooklyn,10802
