pickup_date,pickup_month,affiliated_base,trips
2015-02-06,2015-02,B02718,1
2015-02-06,2015-02,B02723,17
2015-02-06,2015-02,B02724,16
2015-02-06,2015-02,B02725,3
2015-02-06,2015-02,B02729,1171
2015-02-06,2015-02,B02732,18
2015-02-06,2015-02,B02739,34
2015-02-06,2015-02,B02747,13
2015-02-06,2015-02,B02749,64
2015-02-06,2015-02,B02763,54
2015-02-06,2015-02,B02764,32024
2015-02-06,2015-02,B02765,3518
2015-02-06,2015-02,B02767,9
2015-02-06,2015-02,B02769,31
2015-02-06,2015-02,B02770,40
2015-02-06,2015-02,B02771,19
2015-02-06,2015-02,B02772,20
2015-02-06,2015-02,B02773,11
2015-02-06,2015-02,B02774,500
2015-02-06,2015-02,B02780,7
2015-02-06,2015-02,B02787,24
2015-02-06,2015-02,B02788,288
2015-02-06,2015-02,B02789,210
2015-02-06,2015-02,B02795,32
2015-02-06,2015-02,B02798,4
2015-02-06,2015-02,B02800,9
2015-02-06,2015-02,B02806,33
2015-02-06,2015-02,B02809,14
2015-02-06,2015-02,B02810,12
2015-02-06,2015-02,B02815,31
2015-02-06,2015-02,B02818,112
2015-02-06,2015-02,B02822,19
2015-02-06,2015-02,B02826,2
2015-02-06,2015-02,B02834,10
2015-02-06,2015-02,B02835,25
2015-02-06,2015-02,,3311
2015-02-07,2015-02,B00013,182
