pickup_date,pickup_month,base,base_name,trips,vehicles
2015-06-24,2015-06,B00277,ALL CITY CORP TRANS INC,148,35
2015-06-24,2015-06,B00281,"VEE CEE LIMOUSINE SERVICE, INC",98,11
2015-06-24,2015-06,B00296,PRIME TIME TRANS. INC,98,41
2015-06-24,2015-06,B00345,MARTIN'S BELLE HARBOR CAR SERVICE,10,3
2015-06-24,2015-06,B00381,BELL RADIO INC,436,108
2015-06-24,2015-06,B00411,FONE-A-CAR INC,218,55
2015-06-24,2015-06,B00412,NYC 2 WAY INTERNATIONAL LTD,369,87
2015-06-24,2015-06,B00475,RIDGE TRANSPORTATION CORP.,116,10
2015-06-24,2015-06,B00477,INTA-BORO ACRES INC,589,148
2015-06-24,2015-06,B00552,HINO-MARU ENTERPRISES INC.,54,33
2015-06-24,2015-06,B00608,SUMMIT CORP CAR INC,172,40
2015-06-24,2015-06,B00619,LINCOLN LIMO SVCE INC,1,1
2015-06-24,2015-06,B00623,MANHATTAN INT'L LIMO NETWORK LLC,18,7
2015-06-24,2015-06,B00706,"VIC & BAY CAR SERVICE, INC",405,19
2015-06-24,2015-06,B00789,VITAL TRANSPORTATION INC.,784,204
2015-06-24,2015-06,B00837,CAREY LIMO N Y INC,604,195
2015-06-24,2015-06,B00881,CROSSBAY CAR SERVICE INC.,20,12
2015-06-24,2015-06,B00888,ACE C/L SVCE INC,144,40
2015-06-24,2015-06,B00889,MEXICANA CAR SERVICE INC.,647,78
2015-06-24,2015-06,B00906,OLYMPIA OPERATING CAR SERVICE OF NY CORP.,66,11
2015-06-24,2015-06,B00941,PERSONAL TOUCH C/S,52,0
2015-06-24,2015-06,B00948,510 CAR SERVICE CORP,493,54
2015-06-24,2015-06,B00991,P F MANAGEMENT INC,47,18
2015-06-24,2015-06,B01009,UNITED LIMO C/M SVC CORP,92,8
2015-06-24,2015-06,B01016,810 CAR SVCE CORP,877,72
2015-06-24,2015-06,B01039,NYC WHEELS CAR SERVICE INC.,10,10
2015-06-24,2015-06,B01048,HILLSIDE 24 HOURS RADIO DISPATCH INC,186,9
2015-06-24,2015-06,B01129,GTWY INC,272,20
2015-06-24,2015-06,B01148,EVELYN CAR SERVICE INC,332,42
2015-06-24,2015-06,B01197,"TEL-A-CAR OF NEW YORK, LLC",265,78
2015-06-24,2015-06,B01269,DIVISION CAR & LIMO INC.,39,7
2015-06-24,2015-06,B01292,SHEPREID CAR SERVICE AND LIMOUSINE CORP.,44,6
2015-06-24,2015-06,B01306,"R N D TRANSPORTATION, INC.",42,11
2015-06-24,2015-06,B01308,LIL'D DISPATCH INC.,91,24
2015-06-24,2015-06,B01313,JOY CAR SERVICES INC.,12,9
2015-06-24,2015-06,B01318,LOWER EAST SIDE C/S CORP,838,89
2015-06-24,2015-06,B01340,UNICAR COMPANY INC,915,126
2015-06-24,2015-06,B01343,ALL PEOPLE CAR SERVICE INC.,221,0
2015-06-24,2015-06,B01346,ARECIBO C/S INC,83,11
2015-06-24,2015-06,B01351,HADERECH CAR SERVICE INC,18,5
2015-06-24,2015-06,B01355,NEW HARLEM C/S INC,472,43
2015-06-24,2015-06,B01367,"ROYAL DISPATCH SERVICES, INC.",295,92
2015-06-24,2015-06,B01379,J.J.S. TRANSPORTATION CO. INC.,86,6
2015-06-24,2015-06,B01391,ROSE 'N' DALE C/S INC,133,12
2015-06-24,2015-06,B01398,ALEX EXP C/L INC,1,0
2015-06-24,2015-06,B01417,NESHER EXPRESS CAR SERVICE 2 INC.,315,0
2015-06-24,2015-06,B01432,TOVAR TRANSPORTATION INC,413,26
2015-06-24,2015-06,B01445,J T TRANS CO INC,209,50
2015-06-24,2015-06,B01475,"MIDWOOD VS, INC",1,0
2015-06-24,2015-06,B01478,"UNIWORLD BROTHERS ENTERPRISES, INC.",79,12
2015-06-24,2015-06,B01509,"BRUNWISH ENTERPRISES,LTD.",801,76
2015-06-24,2015-06,B01522,"STM ENTERPRISES,INC",89,15
2015-06-24,2015-06,B01559,MUNKACS CAR SVC LTD,392,23
2015-06-24,2015-06,B01606,LA MEXICANA EXPRESS INC.,1638,116
2015-06-24,2015-06,B01608,JERUSALEM CAR COM.INC.,12,5
2015-06-24,2015-06,B01623,JAMAICA EXPRESS CAR SERVICE INC.,52,9
2015-06-24,2015-06,B01625,GLOBE CAR SERVICE INC,101,9
2015-06-24,2015-06,B01626,LA NUEVA QUISQUEYA C/S INC,1240,124
2015-06-24,2015-06,B01635,HAR-SINAY CAR & LIMO SVC INC,46,8
2015-06-24,2015-06,B01672,NEW DAYNIGHT CAR SVCE,46,24
